ID individuo;Codigo poblacion;Linaje;V_Largo;V_alto;V_ancho;Peso;Area_branquial;Area de palpos;Densidad de filamentos 
MOL11;MOL;largillierti;18,13;15,78;9,72;0,7291;112,838238;14,285218;32,34866616
MOL12;MOL;largillierti;17,72;16,56;9,96;0,7784;123,350495;18,340264;27,53087891
MOL13;MOL;largillierti;17,61;16,04;9,69;0,7086;115,585102;13,366604;33,26854464
MOL14;MOL;largillierti;17,51;15,65;9,56;0,7011;107,914842;13,660318;28,93836968
MOL15;MOL;largillierti;17,44;16,01;9,72;0,7189;110,685037;16,099256;28,03471653
MOL16;MOL;largillierti;17,23;15,7;9,82;0,7284;116,12624;15,33519;29,64587583
MOL17;MOL;largillierti;17,21;15,36;9,34;0,6093;101,242092;13,787104;26,72632134
MOL18;MOL;largillierti;17,15;15,77;9,15;0,6219;105,546594;11,96709;27,13295446
MOL19;MOL;largillierti;16,81;15,24;9,45;0,6587;98,91378;13,294616;35,11106252
MOL20;MOL;largillierti;15,59;14,56;8,61;0,5433;97,544954;11,435398;28,77595734
MOL21;MOL;largillierti;15,45;13,81;8,55;0,4998;89,50322;8,52328;29,54245352
MOL22;MOL;largillierti;15,28;13,44;8,09;0,4208;79,369431;10,072244;28,90354061
MOL23;MOL;largillierti;15,16;13,93;8,5;0,4699;80,36044;9,93276;25,6238872
MOL24;MOL;largillierti;15,15;13,67;8,56;0,4705;81,793864;11,246632;32,80026533
MOL25;MOL;largillierti;14,99;13,18;8,31;0,4355;82,786477;10,102176;34,84367607
MOL26;MOL;largillierti;14,77;13,68;9;0,509;92,648316;12,85081;29,10433479
MOL27;MOL;largillierti;14,37;12,3;7,75;0,3679;70,93648;7,368052;30,13338404
MOL28;MOL;largillierti;12,65;11,3;7,16;0,2894;63,296267;7,278094;32,39860676
MOL29;MOL;largillierti;12,64;11,18;7,12;0,271;67,330102;8,141338;29,46543087
MOL30;MOL;largillierti;12,05;10,64;6,55;0,2297;60,132097;5,843648;27,52598213
DCC1;DCC;largillierti;21,81;19,94;10,22;1,0877;183,736028;21,798386;23,1129404
DCC2;DCC;largillierti;21,45;19,85;12,61;1,5762;155,577562;35,109596;41,03733845
DCC3;DCC;largillierti;21,39;19,45;10,12;1,0544;157,696543;40,971922;23,73925965
